,title,authors,type,year_correct,year_number,collected_by,number_authors
1300,MCI-DL: Eine digitale Bibliothek für Mensch-Computer-Interaktion.,"['Philipp Bohnenstengel', 'Martin Christof Kindsmüller', 'Michael Herczeg']",Publication,True,2011,Fabian,3
1302,Die Benutzerverwaltung der Digitalen Bibliothek MyCoRe in einem Shibboleth und LDAP Umfeld,['Joachim Meyer'],Publication,True,2006,Fabian,1
1303,"Die Bibliothek. 44 Bücher, die man gelesen haben muss",['Karl H. Pruys'],Publication,True,2001,Fabian,1
1304,Veröffentlichungen und Dokumente der EU eingegangen in der Bibliothek,[' ?'],Publication,True,1997,Fabian,1
1305,Die Deutsche Bibliothek: The National Archive for Electronic Media?,['Werner Stephan'],Publication,True,1995,Fabian,1
1306,Facebook und seine Tücken - ein Experiment an einer Bibliothek.,"['Athanasios Mazarakis', 'Isabella Peters']",Publication,True,2017,Fabian,2
1307,"Bibliothek 2.0 - Teaching Library, Web 2.0 und Öffentliche Bibliotheken",['Mark Buzinkay'],Publication,True,2008,Fabian,1
1308,Bibliothek 2.0 : Neue Perspektiven und Einsatzmöglichkeiten für wissenschaftliche Bibliotheken,['Michaela Selbach'],Publication,True,2007,Fabian,1
1309,"Bibliotheken in Second Life. Diplomarbeit, Studiengang: Bibliothek, Fachhochschule Potsdam",['Jin Tan'],Publication,True,2007,Fabian,1
1310,"Versuch eines vollständigen Lehrbuches der Bibliothek-Wissenschaft, 2. Band",['Martin Schrettinger'],Publication,True,1829,Fabian,1
1311,Versuch eines vollständigen Lehrbuches der Bibliothek-Wissenschaft. Band 1,['Martin Schrettinger'],Publication,True,1808,Fabian,1
1312,Friedrich Nicolais Allgemeine Deutsche Bibliothek als Integrationsmedium der Gelehrtenrepublik,['Ute Schneider'],Publication,True,1994,Fabian,1
1313,Vom Sinngehalt der Bibliothek im fürstlichen Landhaus zu Wörlitz,['Christian Reimann'],Publication,True,2002,Fabian,1
1314,Vom Sinngehalt der Bibliothek im fürstlichen Landhaus zu Wörlitz,['Christian Reimann'],Publication,True,2002,Fabian,1
1316,Die griechische Schule und die Bibliothek von Nag Hammadi,['Alexander Böhlig'],Publication,True,1975,Fabian,1
1317,Modernes Datenmanagement : Linked Open Data und die offene Bibliothek,['Jens Mittelbach'],Publication,True,2015,Fabian,1
